forecast_id,origin_date,target_date,model_group,model,information_set,forecast_type,window_type,refit_frequency,target_scale,forecast_value_log,forecast_value_rv,realized_value_log,realized_value_rv,notes,combination_members,benchmark_forecast,rolling_window_months
har_ols__HAR__log__rolling,2011-02-28,2011-03-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.21903026266924,0.116075622582159,-2.08749955284597,0.123996795947256,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.168400011138151,120
har_ols__HAR__log__rolling,2011-03-31,2011-04-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.13194684599483,0.126516168987066,-2.50133152259424,0.0819757733276957,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.167406598024447,120
har_ols__HAR__log__rolling,2011-04-30,2011-05-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.24468877195982,0.113068313132386,-2.25914280859646,0.104439971441382,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.166287625383583,120
har_ols__HAR__log__rolling,2011-05-31,2011-06-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.22193432126012,0.115661567773135,-2.14286491490174,0.117318254288003,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.165628611916113,120
har_ols__HAR__log__rolling,2011-06-30,2011-07-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.20563791702164,0.117088493353235,-2.19532235364054,0.111322670452323,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.163354276251128,120
har_ols__HAR__log__rolling,2011-07-31,2011-08-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.2319953099264,0.113970565488851,-1.20238877442931,0.300475585540403,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.162870688104487,120
har_ols__HAR__log__rolling,2011-08-31,2011-09-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-1.73941595056028,0.18733708849928,-1.43793023095313,0.237418652266313,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.16419731945916,120
har_ols__HAR__log__rolling,2011-09-30,2011-10-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-1.90524712882081,0.156618478466625,-1.55570477577335,0.211040593917999,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.159401062827833,120
har_ols__HAR__log__rolling,2011-10-31,2011-11-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-1.9834633346864,0.144906420487593,-1.69828201319147,0.182997641684908,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.154087110792887,120
har_ols__HAR__log__rolling,2011-11-30,2011-12-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-1.99959264914181,0.142249698748077,-2.06822018635515,0.126410568861388,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.15162060029383,120
har_ols__HAR__log__rolling,2011-12-31,2012-01-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.10665133880007,0.126939490964494,-2.38885374752457,0.0917347748483584,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.151716709055163,120
har_ols__HAR__log__rolling,2012-01-31,2012-02-29,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.21647954801401,0.113749401702836,-2.51887185748431,0.0805504278726547,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.151362878770558,120
har_ols__HAR__log__rolling,2012-02-29,2012-03-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.27131272091189,0.107720761893943,-2.5748341363855,0.0761664549944993,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.150698100230918,120
har_ols__HAR__log__rolling,2012-03-31,2012-04-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.29645416363756,0.105053534229428,-2.40153392375576,0.0905789055373766,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.150274432206877,120
har_ols__HAR__log__rolling,2012-04-30,2012-05-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.25562690811827,0.109435978075927,-2.09938979910876,0.122531174077305,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.149734965208963,120
har_ols__HAR__log__rolling,2012-05-31,2012-06-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.1486942385649,0.121787465548472,-2.12546825824679,0.119377055886129,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.149575272726827,120
har_ols__HAR__log__rolling,2012-06-30,2012-07-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.15655516769672,0.120797510018511,-2.29379880127391,0.10088250044787,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.148865193302329,120
har_ols__HAR__log__rolling,2012-07-31,2012-08-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.21843333327059,0.113373644631992,-2.52502409793525,0.080056383569928,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.14691551202165,120
har_ols__HAR__log__rolling,2012-08-31,2012-09-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.30602291599837,0.103690797992301,-2.53317087580369,0.0794068314669412,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.143239863109023,120
har_ols__HAR__log__rolling,2012-09-30,2012-10-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.34456705192183,0.0996142856093246,-2.36449935028891,0.0939963478347329,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.141706877351601,120
har_ols__HAR__log__rolling,2012-10-31,2012-11-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.30841920321328,0.103268538834448,-2.20198110447778,0.110583863024362,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.140136330481951,120
har_ols__HAR__log__rolling,2012-11-30,2012-12-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.25609427940757,0.108805334328258,-2.31027155441196,0.0992343003883687,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.1394020033561,120
har_ols__HAR__log__rolling,2012-12-31,2013-01-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.28968941901116,0.105211997619107,-2.70612223558043,0.0667953216828184,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.138808720446521,120
har_ols__HAR__log__rolling,2013-01-31,2013-02-28,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.4049229025168,0.0938185793736478,-2.55008146400388,0.0780753054150944,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.137880856286323,120
har_ols__HAR__log__rolling,2013-02-28,2013-03-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.37838954587292,0.09632791404095,-2.55738817922907,0.0775069104710928,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.136924159853777,120
har_ols__HAR__log__rolling,2013-03-31,2013-04-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.38717204220594,0.0954805231604,-2.38207276708699,0.0923589403975598,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.135928834466744,120
har_ols__HAR__log__rolling,2013-04-30,2013-05-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.33492955643679,0.100601205499531,-2.43376237155926,0.0877062276266266,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.135357743103891,120
har_ols__HAR__log__rolling,2013-05-31,2013-06-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.35136208667987,0.0989653523400815,-2.05286242622239,0.128366936314868,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.134907924436109,120
har_ols__HAR__log__rolling,2013-06-30,2013-07-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.20830197209461,0.114227975756174,-2.56668151131585,0.0767899496506438,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.134822568963003,120
har_ols__HAR__log__rolling,2013-07-31,2013-08-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.37807299366333,0.0964331517723542,-2.5462734596889,0.0783731833152146,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.134181484008845,120
har_ols__HAR__log__rolling,2013-08-31,2013-09-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.37854948205828,0.0963964273446594,-2.54565160933086,0.0784219348638329,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.133784655270542,120
har_ols__HAR__log__rolling,2013-09-30,2013-10-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.39176604733585,0.0951415158309032,-2.45214388607355,0.0861087810527336,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.133460771984669,120
har_ols__HAR__log__rolling,2013-10-31,2013-11-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.36673623968596,0.0975524225896481,-2.66189187473213,0.0698160135714633,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.133282542774821,120
har_ols__HAR__log__rolling,2013-11-30,2013-12-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.42602781763459,0.0919651632472898,-2.64209883780987,0.0712116508932586,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.13304852777859,120
har_ols__HAR__log__rolling,2013-12-31,2014-01-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.42709133945575,0.0918693826684842,-2.42459229730382,0.0885141991642557,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.132930866881049,120
har_ols__HAR__log__rolling,2014-01-31,2014-02-28,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.370642662962,0.097204375907041,-2.40519168452278,0.0902481947695398,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.13283067303468,120
har_ols__HAR__log__rolling,2014-02-28,2014-03-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.36011671458252,0.098232872046257,-2.37690488526338,0.0928374759294063,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.132754100016602,120
har_ols__HAR__log__rolling,2014-03-31,2014-04-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.34779667180789,0.0994413442676406,-2.34415005934342,0.0959287011941868,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.132540780135623,120
har_ols__HAR__log__rolling,2014-04-30,2014-05-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.3364040715776,0.100580532175268,-2.61688121041314,0.0730302740775016,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.132419384157963,120
har_ols__HAR__log__rolling,2014-05-31,2014-06-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.41887230142635,0.0926297512460014,-2.87287536680196,0.056536130529994,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131937024456621,120
har_ols__HAR__log__rolling,2014-06-30,2014-07-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.48859412540126,0.0864252122512829,-2.7170147020558,0.066071704025716,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131737966598147,120
har_ols__HAR__log__rolling,2014-07-31,2014-08-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.46968973922956,0.0880887700492569,-2.58723574294824,0.0752277016428884,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131411187059788,120
har_ols__HAR__log__rolling,2014-08-31,2014-09-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.44121611837183,0.0906372701466097,-2.5742520939781,0.0762108000054142,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131236371276084,120
har_ols__HAR__log__rolling,2014-09-30,2014-10-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.43486361835874,0.0912130488793187,-1.93799727981798,0.143992036960876,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131173348134799,120
har_ols__HAR__log__rolling,2014-10-31,2014-11-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.18949681339787,0.116697602804033,-2.74456078974885,0.064276525654734,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131602773664602,120
har_ols__HAR__log__rolling,2014-11-30,2014-12-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.45169160339828,0.0898932903035075,-2.29827049027091,0.100432392402255,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131410450087131,120
har_ols__HAR__log__rolling,2014-12-31,2015-01-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.32706175086668,0.101822447017604,-1.97951749675866,0.138135872239917,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131584755674185,120
har_ols__HAR__log__rolling,2015-01-31,2015-02-28,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.20378720776269,0.115238427815671,-2.38448766308394,0.0921361722513234,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.13194923101557,120
har_ols__HAR__log__rolling,2015-02-28,2015-03-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.33777707764408,0.100780101753773,-2.46190672580273,0.0852722051469906,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.132073827359085,120
har_ols__HAR__log__rolling,2015-03-31,2015-04-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.36487169995403,0.0980924151209162,-2.47383164725878,0.0842613797833309,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.132025910406678,120
har_ols__HAR__log__rolling,2015-04-30,2015-05-31,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.3845452875352,0.0961771200780055,-2.58532864838586,0.0753713048725773,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131810576740959,120
har_ols__HAR__log__rolling,2015-05-31,2015-06-30,Benchmark,OLS HAR,HAR,individual,rolling,1,log_rv,-2.417767990468,0.0930497640316226,-2.50201266328748,0.0819199553047433,Loaded from existing common 155-date monthly-refit rolling forecast artifact.,,0.131616754687961,120
