feature_group,feature_name,source_name
target,rv,realized_vol
har,har_rv_1m,realized_vol
har,har_rv_3m,3-month mean of realized_vol
har,har_rv_12m,12-month mean of realized_vol
option,implied_var_eom,implied_var_eom
option,atm_iv_eom,atm_iv_eom
option,put_25_iv_eom,put_25_iv_eom
option,call_25_iv_eom,call_25_iv_eom
option,skew_25_eom,skew_25_eom
option,downside_skew_eom,downside_skew_eom
option,smile_curvature_25_eom,smile_curvature_25_eom
option,skew_10_eom,skew_10_eom
option,downside_skew_10_eom,downside_skew_10_eom
option,smile_curvature_10_eom,smile_curvature_10_eom
option,atm_dispersion_eom,atm_dispersion_eom
option,put_25_dispersion_eom,put_25_dispersion_eom
option,mean_dispersion_eom,mean_dispersion_eom
option,atm_iv_month_avg,atm_iv_month_avg
option,implied_var_month_avg,implied_var_month_avg
option,vrp_forward_eom,vrp_forward_eom
option,vrp_forward_month_avg,vrp_forward_month_avg
option,skew_25_month_avg,skew_25_month_avg
option,smile_curvature_25_month_avg,smile_curvature_25_month_avg
option,mean_dispersion_month_avg,mean_dispersion_month_avg
macro,macro_mkt_ret,mkt_ret
macro,macro_age,age
macro,macro_aliq_at,aliq_at
macro,macro_aliq_mat,aliq_mat
macro,macro_ami_126d,ami_126d
macro,macro_at_be,at_be
macro,macro_at_gr1,at_gr1
macro,macro_at_me,at_me
macro,macro_at_turnover,at_turnover
macro,macro_be_gr1a,be_gr1a
macro,macro_be_me,be_me
macro,macro_beta_60m,beta_60m
macro,macro_beta_dimson_21d,beta_dimson_21d
macro,macro_betabab_1260d,betabab_1260d
macro,macro_betadown_252d,betadown_252d
macro,macro_bev_mev,bev_mev
macro,macro_bidaskhl_21d,bidaskhl_21d
macro,macro_capex_abn,capex_abn
macro,macro_capx_gr1,capx_gr1
macro,macro_capx_gr2,capx_gr2
macro,macro_capx_gr3,capx_gr3
macro,macro_cash_at,cash_at
macro,macro_chcsho_12m,chcsho_12m
macro,macro_coa_gr1a,coa_gr1a
macro,macro_col_gr1a,col_gr1a
macro,macro_cop_at,cop_at
macro,macro_cop_atl1,cop_atl1
macro,macro_corr_1260d,corr_1260d
macro,macro_coskew_21d,coskew_21d
macro,macro_cowc_gr1a,cowc_gr1a
macro,macro_dbnetis_at,dbnetis_at
macro,macro_debt_gr3,debt_gr3
macro,macro_debt_me,debt_me
macro,macro_dgp_dsale,dgp_dsale
macro,macro_div12m_me,div12m_me
macro,macro_dolvol_126d,dolvol_126d
macro,macro_dolvol_var_126d,dolvol_var_126d
macro,macro_dsale_dinv,dsale_dinv
macro,macro_dsale_drec,dsale_drec
macro,macro_dsale_dsga,dsale_dsga
macro,macro_earnings_variability,earnings_variability
macro,macro_ebit_bev,ebit_bev
macro,macro_ebit_sale,ebit_sale
macro,macro_ebitda_mev,ebitda_mev
macro,macro_emp_gr1,emp_gr1
macro,macro_eq_dur,eq_dur
macro,macro_eqnetis_at,eqnetis_at
macro,macro_eqnpo_12m,eqnpo_12m
macro,macro_eqnpo_me,eqnpo_me
macro,macro_eqpo_me,eqpo_me
macro,macro_f_score,f_score
macro,macro_fcf_me,fcf_me
macro,macro_fnl_gr1a,fnl_gr1a
macro,macro_gp_at,gp_at
macro,macro_gp_atl1,gp_atl1
macro,macro_inv_gr1,inv_gr1
macro,macro_inv_gr1a,inv_gr1a
macro,macro_iskew_capm_21d,iskew_capm_21d
macro,macro_iskew_ff3_21d,iskew_ff3_21d
macro,macro_iskew_hxz4_21d,iskew_hxz4_21d
macro,macro_ival_me,ival_me
macro,macro_ivol_capm_21d,ivol_capm_21d
macro,macro_ivol_capm_252d,ivol_capm_252d
macro,macro_ivol_ff3_21d,ivol_ff3_21d
macro,macro_ivol_hxz4_21d,ivol_hxz4_21d
macro,macro_kz_index,kz_index
macro,macro_lnoa_gr1a,lnoa_gr1a
macro,macro_lti_gr1a,lti_gr1a
macro,macro_market_equity,market_equity
macro,macro_mispricing_mgmt,mispricing_mgmt
macro,macro_mispricing_perf,mispricing_perf
macro,macro_ncoa_gr1a,ncoa_gr1a
macro,macro_ncol_gr1a,ncol_gr1a
macro,macro_netdebt_me,netdebt_me
macro,macro_netis_at,netis_at
macro,macro_nfna_gr1a,nfna_gr1a
macro,macro_ni_ar1,ni_ar1
macro,macro_ni_be,ni_be
macro,macro_ni_inc8q,ni_inc8q
macro,macro_ni_ivol,ni_ivol
macro,macro_ni_me,ni_me
macro,macro_niq_at,niq_at
macro,macro_niq_at_chg1,niq_at_chg1
macro,macro_niq_be,niq_be
macro,macro_niq_be_chg1,niq_be_chg1
macro,macro_niq_su,niq_su
macro,macro_nncoa_gr1a,nncoa_gr1a
macro,macro_noa_at,noa_at
macro,macro_noa_gr1a,noa_gr1a
macro,macro_o_score,o_score
macro,macro_oaccruals_at,oaccruals_at
macro,macro_oaccruals_ni,oaccruals_ni
macro,macro_ocf_at,ocf_at
macro,macro_ocf_at_chg1,ocf_at_chg1
macro,macro_ocf_me,ocf_me
macro,macro_ocfq_saleq_std,ocfq_saleq_std
macro,macro_op_at,op_at
macro,macro_op_atl1,op_atl1
macro,macro_ope_be,ope_be
macro,macro_ope_bel1,ope_bel1
macro,macro_opex_at,opex_at
