location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,mkt,monthly,vw_cap,na,489,na,1926-01-31,0.0010372236
usa,mkt,monthly,vw_cap,na,494,na,1926-02-28,-0.046911686
usa,mkt,monthly,vw_cap,na,500,na,1926-03-31,-0.079125916
usa,mkt,monthly,vw_cap,na,505,na,1926-04-30,0.0340923305
usa,mkt,monthly,vw_cap,na,507,na,1926-05-31,0.0092145127
usa,mkt,monthly,vw_cap,na,513,na,1926-06-30,0.0511265538
usa,mkt,monthly,vw_cap,na,503,na,1926-07-31,0.0221976695
usa,mkt,monthly,vw_cap,na,509,na,1926-08-31,0.0205562766
usa,mkt,monthly,vw_cap,na,520,na,1926-09-30,-0.005109351
usa,mkt,monthly,vw_cap,na,518,na,1926-10-31,-0.034136975
usa,mkt,monthly,vw_cap,na,523,na,1926-11-30,0.0287088195
usa,mkt,monthly,vw_cap,na,526,na,1926-12-31,0.0252468528
usa,mkt,monthly,vw_cap,na,529,na,1927-01-31,0.0038410904
usa,mkt,monthly,vw_cap,na,531,na,1927-02-28,0.0461671235
usa,mkt,monthly,vw_cap,na,534,na,1927-03-31,-0.010057822
usa,mkt,monthly,vw_cap,na,535,na,1927-04-30,0.0014511367
usa,mkt,monthly,vw_cap,na,538,na,1927-05-31,0.0588181875
usa,mkt,monthly,vw_cap,na,544,na,1927-06-30,-0.025435009
usa,mkt,monthly,vw_cap,na,548,na,1927-07-31,0.060257788
usa,mkt,monthly,vw_cap,na,545,na,1927-08-31,0.0101637562
usa,mkt,monthly,vw_cap,na,553,na,1927-09-30,0.0446066018
usa,mkt,monthly,vw_cap,na,566,na,1927-10-31,-0.038458426
usa,mkt,monthly,vw_cap,na,567,na,1927-11-30,0.0713587793
usa,mkt,monthly,vw_cap,na,571,na,1927-12-31,0.0286016254
usa,mkt,monthly,vw_cap,na,574,na,1928-01-31,0.0039636697
usa,mkt,monthly,vw_cap,na,576,na,1928-02-29,-0.026874415
usa,mkt,monthly,vw_cap,na,573,na,1928-03-31,0.073373727
usa,mkt,monthly,vw_cap,na,572,na,1928-04-30,0.0501689232
usa,mkt,monthly,vw_cap,na,575,na,1928-05-31,0.01636407
usa,mkt,monthly,vw_cap,na,576,na,1928-06-30,-0.058663017
usa,mkt,monthly,vw_cap,na,577,na,1928-07-31,0.00718556
usa,mkt,monthly,vw_cap,na,586,na,1928-08-31,0.0675981502
usa,mkt,monthly,vw_cap,na,590,na,1928-09-30,0.0389457101
usa,mkt,monthly,vw_cap,na,595,na,1928-10-31,0.0120805374
usa,mkt,monthly,vw_cap,na,600,na,1928-11-30,0.113120983
usa,mkt,monthly,vw_cap,na,603,na,1928-12-31,0.0048554018
usa,mkt,monthly,vw_cap,na,606,na,1929-01-31,0.0416136189
usa,mkt,monthly,vw_cap,na,613,na,1929-02-28,-0.000751555
usa,mkt,monthly,vw_cap,na,617,na,1929-03-31,-0.02522297
usa,mkt,monthly,vw_cap,na,624,na,1929-04-30,0.0108922382
usa,mkt,monthly,vw_cap,na,637,na,1929-05-31,-0.066249246
usa,mkt,monthly,vw_cap,na,650,na,1929-06-30,0.0851197533
usa,mkt,monthly,vw_cap,na,652,na,1929-07-31,0.0316236936
usa,mkt,monthly,vw_cap,na,663,na,1929-08-31,0.0562904508
usa,mkt,monthly,vw_cap,na,674,na,1929-09-30,-0.043908414
usa,mkt,monthly,vw_cap,na,663,na,1929-10-31,-0.202428726
usa,mkt,monthly,vw_cap,na,668,na,1929-11-30,-0.124355852
usa,mkt,monthly,vw_cap,na,689,na,1929-12-31,0.0057902131
