location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,mkt,daily,vw_cap,na,498,na,1926-01-30,0.0013211271
usa,mkt,daily,vw_cap,na,500,na,1926-01-29,0.0077169463
usa,mkt,daily,vw_cap,na,497,na,1926-01-28,0.0050556318
usa,mkt,daily,vw_cap,na,494,na,1926-01-27,0.0068948338
usa,mkt,daily,vw_cap,na,495,na,1926-01-26,-0.006235627
usa,mkt,daily,vw_cap,na,492,na,1926-01-25,0.0057054057
usa,mkt,daily,vw_cap,na,489,na,1926-01-23,0.0063093996
usa,mkt,daily,vw_cap,na,489,na,1926-01-22,0.0043473213
usa,mkt,daily,vw_cap,na,494,na,1926-01-21,-0.006509535
usa,mkt,daily,vw_cap,na,494,na,1926-01-20,0.002614524
usa,mkt,daily,vw_cap,na,494,na,1926-01-19,-0.011972754
usa,mkt,daily,vw_cap,na,494,na,1926-01-18,0.0057454524
usa,mkt,daily,vw_cap,na,495,na,1926-01-16,-0.001041612
usa,mkt,daily,vw_cap,na,496,na,1926-01-15,-0.013974793
usa,mkt,daily,vw_cap,na,495,na,1926-01-14,-0.004536219
usa,mkt,daily,vw_cap,na,492,na,1926-01-13,0.0054951443
usa,mkt,daily,vw_cap,na,493,na,1926-01-12,-0.001758454
usa,mkt,daily,vw_cap,na,490,na,1926-01-11,-0.008858564
usa,mkt,daily,vw_cap,na,489,na,1926-01-09,0.0022293511
usa,mkt,daily,vw_cap,na,494,na,1926-01-08,-0.004137809
usa,mkt,daily,vw_cap,na,496,na,1926-01-07,0.0054808412
usa,mkt,daily,vw_cap,na,492,na,1926-01-06,-0.000571462
usa,mkt,daily,vw_cap,na,491,na,1926-01-05,-0.005171118
usa,mkt,daily,vw_cap,na,487,na,1926-01-04,0.0020134734
usa,mkt,daily,vw_cap,na,486,na,1926-01-02,0.0053967813
usa,mkt,daily,vw_cap,na,505,na,1926-02-27,0.0007199
usa,mkt,daily,vw_cap,na,508,na,1926-02-26,-0.015643884
usa,mkt,daily,vw_cap,na,506,na,1926-02-25,-0.010572385
usa,mkt,daily,vw_cap,na,504,na,1926-02-24,-0.004956054
usa,mkt,daily,vw_cap,na,499,na,1926-02-23,-0.010556582
usa,mkt,daily,vw_cap,na,502,na,1926-02-20,-0.001480603
usa,mkt,daily,vw_cap,na,502,na,1926-02-19,-0.000667773
usa,mkt,daily,vw_cap,na,501,na,1926-02-18,0.0024339087
usa,mkt,daily,vw_cap,na,502,na,1926-02-17,0.0052491253
usa,mkt,daily,vw_cap,na,503,na,1926-02-16,0.0030201404
usa,mkt,daily,vw_cap,na,500,na,1926-02-15,-0.022142724
usa,mkt,daily,vw_cap,na,502,na,1926-02-13,-0.003313136
usa,mkt,daily,vw_cap,na,499,na,1926-02-11,-0.000323846
usa,mkt,daily,vw_cap,na,501,na,1926-02-10,-0.002127735
usa,mkt,daily,vw_cap,na,501,na,1926-02-09,0.007175226
usa,mkt,daily,vw_cap,na,499,na,1926-02-08,-0.007451934
usa,mkt,daily,vw_cap,na,497,na,1926-02-06,0.0008786996
usa,mkt,daily,vw_cap,na,500,na,1926-02-05,0.0001385611
usa,mkt,daily,vw_cap,na,500,na,1926-02-04,0.0036936363
usa,mkt,daily,vw_cap,na,495,na,1926-02-03,0.0048708611
usa,mkt,daily,vw_cap,na,499,na,1926-02-02,0.0050114103
usa,mkt,daily,vw_cap,na,498,na,1926-02-01,-0.002957842
usa,mkt,daily,vw_cap,na,505,na,1926-03-31,0.0335534452
usa,mkt,daily,vw_cap,na,505,na,1926-03-30,-0.020951101
usa,mkt,daily,vw_cap,na,506,na,1926-03-29,-0.02564843
usa,mkt,daily,vw_cap,na,506,na,1926-03-27,-0.009227826
usa,mkt,daily,vw_cap,na,509,na,1926-03-26,0.0034021917
usa,mkt,daily,vw_cap,na,510,na,1926-03-25,-0.002186408
usa,mkt,daily,vw_cap,na,510,na,1926-03-24,-0.022461252
usa,mkt,daily,vw_cap,na,509,na,1926-03-23,-0.006087945
usa,mkt,daily,vw_cap,na,509,na,1926-03-22,0.0093010662
usa,mkt,daily,vw_cap,na,509,na,1926-03-20,0.0019173491
usa,mkt,daily,vw_cap,na,505,na,1926-03-19,-0.00646155
usa,mkt,daily,vw_cap,na,503,na,1926-03-18,-0.0147104
usa,mkt,daily,vw_cap,na,508,na,1926-03-17,-0.009959492
usa,mkt,daily,vw_cap,na,511,na,1926-03-16,-0.001177008
usa,mkt,daily,vw_cap,na,510,na,1926-03-15,-0.000569185
usa,mkt,daily,vw_cap,na,507,na,1926-03-13,-0.016443945
usa,mkt,daily,vw_cap,na,506,na,1926-03-12,0.0036582447
usa,mkt,daily,vw_cap,na,507,na,1926-03-11,0.0057559169
usa,mkt,daily,vw_cap,na,508,na,1926-03-10,0.0094918838
usa,mkt,daily,vw_cap,na,507,na,1926-03-09,0.0109258185
usa,mkt,daily,vw_cap,na,503,na,1926-03-08,-0.009678378
usa,mkt,daily,vw_cap,na,503,na,1926-03-06,-0.003326513
usa,mkt,daily,vw_cap,na,503,na,1926-03-05,0.0103107179
usa,mkt,daily,vw_cap,na,501,na,1926-03-04,0.0451127077
usa,mkt,daily,vw_cap,na,500,na,1926-03-03,-0.022517222
usa,mkt,daily,vw_cap,na,502,na,1926-03-02,-0.029416427
usa,mkt,daily,vw_cap,na,502,na,1926-03-01,-0.013988436
usa,mkt,daily,vw_cap,na,509,na,1926-04-30,-0.002841847
usa,mkt,daily,vw_cap,na,505,na,1926-04-29,0.0015168854
usa,mkt,daily,vw_cap,na,507,na,1926-04-28,0.0029936776
usa,mkt,daily,vw_cap,na,504,na,1926-04-26,-0.007789347
usa,mkt,daily,vw_cap,na,507,na,1926-04-24,0.0041317594
usa,mkt,daily,vw_cap,na,509,na,1926-04-23,0.0115526914
usa,mkt,daily,vw_cap,na,506,na,1926-04-27,-0.002935302
usa,mkt,daily,vw_cap,na,506,na,1926-04-22,0.0105049816
usa,mkt,daily,vw_cap,na,505,na,1926-04-21,0.0148916589
usa,mkt,daily,vw_cap,na,506,na,1926-04-20,0.0034461193
usa,mkt,daily,vw_cap,na,502,na,1926-04-19,0.0003645468
usa,mkt,daily,vw_cap,na,502,na,1926-04-17,0.0005944297
usa,mkt,daily,vw_cap,na,506,na,1926-04-16,0.0018941668
usa,mkt,daily,vw_cap,na,505,na,1926-04-15,0.0007866675
usa,mkt,daily,vw_cap,na,508,na,1926-04-14,-0.011626265
usa,mkt,daily,vw_cap,na,507,na,1926-04-13,0.0093569895
