rank,model_group,model,information_set,strategy_type,strategy_category,sharpe_net,ceq_gain_vs_always_short_gamma3_annualized,max_drawdown_diff_vs_always_short,pct_months_traded,avg_turnover,annualized_mean_return_net,max_drawdown,worst_monthly_return,hit_ratio
1,ML,Random Forest,HAR+Macro+Option,short_only_exit_when_negative,short_vol_risk_control,3.3071567208925,0.588871313665526,0,0.980645161290323,0.0451612903225806,5.12870726019033,-3.46301893815756,-2.78845802651901,0.916129032258065
2,ML,Neural Network,HAR+Macro+Option,short_only_exit_when_negative,short_vol_risk_control,3.0253316202029,0.250214639065266,7.105427357601e-15,0.838709677419355,0.251612903225806,4.49717297245971,-3.46301893815755,-2.78845802651901,0.8
3,Combination,Equal Weight,HAR+Macro,short_only_exit_when_negative,short_vol_risk_control,3.10714012645313,0.240211657899248,0,0.935483870967742,0.12258064516129,4.8941055801322,-3.46301893815756,-2.78845802651901,0.870967741935484
4,ML,Random Forest,HAR+Macro+Option,binary_timing,long_short,3.16705915646132,0.235008986331327,0,1,0.0838709677419355,5.17975575598781,-3.46301893815756,-2.78845802651901,0.916129032258065
5,ML,Elastic Net,HAR+Option,scaled_long_short,scaled,2.6587451281265,0.147076021989903,1.94873197113698,0.845161290322581,0.186563406344834,3.03821014411086,-1.51428696702058,-1.0417950388203,0.92258064516129
6,ML,Elastic Net,HAR+Option,scaled_short_only,scaled_short_vol_risk_control,2.6587451281265,0.147076021989903,1.94873197113698,0.845161290322581,0.186563406344834,3.03821014411086,-1.51428696702058,-1.0417950388203,0.92258064516129
7,ML,Elastic Net,HAR+Option,binary_timing,long_short,3.05445545831452,0,0,1,0.00645161290322581,5.07765876439285,-3.46301893815756,-2.78845802651901,0.92258064516129
8,ML,Elastic Net,HAR+Option,short_only_exit_when_negative,short_vol_risk_control,3.05445545831452,0,0,1,0.00645161290322581,5.07765876439285,-3.46301893815756,-2.78845802651901,0.92258064516129
9,ML,Random Forest,HAR+Option,binary_timing,long_short,3.05445545831452,0,0,1,0.00645161290322581,5.07765876439285,-3.46301893815756,-2.78845802651901,0.92258064516129
10,ML,Random Forest,HAR+Option,short_only_exit_when_negative,short_vol_risk_control,3.05445545831452,0,0,1,0.00645161290322581,5.07765876439285,-3.46301893815756,-2.78845802651901,0.92258064516129
11,Stacked,Stacked Random Forest,Multiple,short_only_exit_when_negative,short_vol_risk_control,3.02265691199723,-0.0605260395911247,0,0.993548387096774,0.0193548387096774,5.036556213542,-3.46301893815756,-2.78845802651901,0.916129032258065
12,Stacked,Stacked Elastic Net,Multiple,short_only_exit_when_negative,short_vol_risk_control,3.01768361297602,-0.0659036137461284,0,0.993548387096774,0.0193548387096774,5.02383295911972,-3.46301893815756,-2.78845802651901,0.916129032258065
13,Combination,Random Forest EW,Multiple,short_only_exit_when_negative,short_vol_risk_control,2.9949081081405,-0.115220758876352,0,0.987096774193548,0.032258064516129,5.00292009923193,-3.46301893815756,-2.78845802651901,0.909677419354839
14,ML,Neural Network,HAR+Macro,short_only_exit_when_negative,short_vol_risk_control,2.84206316740575,-0.15079607458653,0.674560911638544,0.845161290322581,0.258064516129032,4.43609938331624,-2.78845802651902,-2.78845802651901,0.793548387096774
15,ML,Random Forest,HAR+Macro,short_only_exit_when_negative,short_vol_risk_control,2.87700123456116,-0.160320754898277,-0.00200000000000244,0.890322580645161,0.174193548387097,4.58985874126718,-3.46501893815756,-2.78945802651901,0.825806451612903
