section,forecast_specification,specification_type,n_specs,sharpe_net,annualized_mean_return_net,annualized_volatility_net,ceq_gain_vs_har_gamma3,ceq_gain_vs_har_gamma5,pct_months_traded,avg_turnover
Benchmark,HAR scaled short-only,HAR benchmark,1,1.3913743641749,1.10566351575766,0.794655661500083,0,0,0.8,0.177019967582807
Equal-weight forecast combinations,Equal Weight (HAR+Macro+Option),infoset_EW,1,2.27483773920318,2.45026907908149,1.07711817720228,0.551546642365679,0.0228406950602433,0.806451612903226,0.252549845253042
Equal-weight forecast combinations,Equal Weight (HAR+Macro),infoset_EW,1,1.82117182712082,1.58974745541067,0.872925570084172,0.288301793824048,0.157780363271406,0.780645161290323,0.229531908858645
Equal-weight forecast combinations,Equal Weight (HAR+Option),infoset_EW,1,2.11572778623875,2.50050811076236,1.18186664987165,0.246847858417638,-0.518483299307071,0.806451612903226,0.245939205484798
Equal-weight forecast combinations,Equal Weight (HAR),infoset_EW,1,1.45050266690418,1.21185101136834,0.835469688556178,0.00638952539764282,-0.0601424547443806,0.819354838709677,0.195136519006838
Equal-weight forecast combinations,Random Forest EW (Multiple),method_EW,1,2.24710100857929,2.44906497856486,1.08987756634637,0.508868228900785,-0.0474872603701582,0.832258064516129,0.22014028313029
Equal-weight forecast combinations,Neural Network EW (Multiple),method_EW,1,1.95679139157833,2.01811320533605,1.03133794129596,0.264179196374701,-0.168001132427755,0.761290322580645,0.284493691626695
Equal-weight forecast combinations,Elastic Net EW (Multiple),method_EW,1,1.7252972044365,1.57873701323922,0.915052206181979,0.164309117954995,-0.0415338017293764,0.825806451612903,0.205841758451709
Equal-weight forecast combinations,PCA EW (Multiple),method_EW,1,1.45913683509691,1.24401474245614,0.852568938384399,-0.00474303481717164,-0.100139209160938,0.793548387096774,0.174832288034968
Equal-weight forecast combinations,All ML forecasts EW (Multiple),all_EW,1,1.92046966282442,1.84366715782024,0.960008477878673,0.30279565619539,0.0126569989505975,0.819354838709677,0.233458645403946
Stacked forecasts,Stacked Elastic Net (Multiple),stacked,1,2.30734158546704,2.52134995848328,1.09275105791192,0.571745561405388,0.0091183071919016,0.838709677419355,0.225990963440893
Stacked forecasts,Stacked Random Forest (Multiple),stacked,1,2.32573412209738,2.67364617400891,1.14959235821753,0.53285520367423,-0.157229766043778,0.838709677419355,0.200751794862741
