target_date,forecast_specification,model_group,model,information_set,forecast_type,sharpe_rank,sharpe_net,net_return,har_return,utility,har_utility,utility_gain_vs_har,cumulative_utility_gain_vs_har,return_gain_vs_har,cumulative_return_gain_vs_har,expanding_ceq_gain_vs_har_annualized,highlighted
2011-03-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-04-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-05-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-06-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-07-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-08-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-09-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-10-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-11-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2011-12-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2012-01-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,,TRUE
2012-02-29,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-03-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-04-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-05-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-06-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-07-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-08-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-09-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-10-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-11-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2012-12-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2013-01-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2013-02-28,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0,0,0,0,0,0,0,0,0,TRUE
2013-03-31,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0.266019766060553,0.175468308519445,0.159869992158186,0.129284617577432,0.0305853745807538,0.0305853745807538,0.0905514575411082,0.0905514575411082,0.0146809797987618,TRUE
2013-04-30,All ML forecasts EW (Multiple),Combination,Equal Weight,Multiple,all_EW,14,1.92046966282442,0.0522525370150032,0.0266324791860234,0.0481570455782468,0.0255685457646324,0.0225884998136144,0.0531738743943681,0.0256200578289798,0.116171515370088,0.0250528248859247,TRUE
