target_date,model,information_set,label,net_return,har_return,utility_gain_vs_har,cumulative_utility_gain_vs_har,return_gain_vs_har,cumulative_return_gain_vs_har
2011-03-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-04-30,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-05-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-06-30,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-07-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-08-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-09-30,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-10-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-11-30,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2011-12-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-01-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-02-29,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-03-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-04-30,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-05-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-06-30,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-07-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-08-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-09-30,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-10-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-11-30,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2012-12-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2013-01-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2013-02-28,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0,0,0,0,0,0
2013-03-31,Elastic Net,HAR+Option,Elastic Net | HAR+Option,0.370867506294296,0.175468308519445,0.0352688278794393,0.0352688278794393,0.195399197774851,0.195399197774851
