forecast_id,model,information_set,forecast_type,r2_oos_vs_har,qlike_gain_vs_har,n,har_coef_given_model,har_t_given_model,har_p_given_model,model_coef_given_har,model_t_given_har,model_p_given_har,rank_model_adds_to_har,rank_har_adds_to_model
enet__HAR_O__log__rolling,Elastic Net,HAR+Option,individual,0.877949683915925,0.128062716313659,155,0.0447198650512398,1.54744972218762,0.123834382258046,0.998718591097981,13.0932004176786,1.0526884523352e-26,1,21
combo_equal_weight_enet_across_har_augmented_datasets_log_rolling,Elastic Net EW,Multiple,method_EW,0.547626213077361,0.088967087736822,155,-1.39509598097247,-10.292299464351,3.51054679918633e-19,2.30517300480283,11.6654700977939,7.35894879250309e-23,2,1
combo_equal_weight_all_har_augmented_ml_x_dataset_log_rolling,Equal Weight,Multiple,all_EW,0.648450225876126,0.087684376725756,155,-0.88317268726608,-8.25336476964221,6.87391123155307e-14,1.82997057265312,10.0832055294579,1.25964146913538e-18,3,2
combo_equal_weight_har_o_across_ml_har_augmented_log_rolling,Equal Weight,HAR+Option,infoset_EW,0.827012168563528,0.0865314283638316,155,-0.0979794143178847,-2.38356264035627,0.0183806051947671,0.949762265300389,9.56352844949687,2.94985147462249e-17,4,17
combo_equal_weight_har_om_across_ml_har_augmented_log_rolling,Equal Weight,HAR+Macro+Option,infoset_EW,0.71647050165729,0.0976372456093065,155,-0.382640159788121,-5.74413134215445,4.88040091973025e-08,1.0942611425372,9.1381552049993,3.78820822430101e-16,5,4
rf__HAR_O__log__rolling,Random Forest,HAR+Option,individual,0.822739503849253,0.0658364167546575,155,-0.00930458527048946,-0.23997548283919,0.810672588124565,0.976500102083283,8.23410269066159,7.68303970836807e-14,6,26
nn__HAR_OM__log__rolling,Neural Network,HAR+Macro+Option,individual,0.741232290321322,-0.0187499475901826,155,0.104171154131206,3.04602548526128,0.00273446590687499,0.505239756537111,8.19015313514423,9.90040345723628e-14,7,14
enet__HAR_OM__log__rolling,Elastic Net,HAR+Macro+Option,individual,0.352953831820097,0.0369539690929913,155,-0.783258244664532,-6.50251244917369,1.07387124969901e-09,1.13356261530212,8.06064287742436,2.08403269933241e-13,8,3
stacked_rf_on_har_augmented_forecasts_log_rolling,Stacked Random Forest,Multiple,stacked,0.814827641180992,0.0155074651863233,155,0.00274811764787154,0.0710883444508345,0.943420891464902,1.06580237029812,7.96206891796189,3.66143488835379e-13,9,27
stacked_enet_on_har_augmented_forecasts_log_rolling,Stacked Elastic Net,Multiple,stacked,0.74467145943423,0.0626211387770154,155,-0.365042327069127,-4.9626452967728,1.84410375407271e-06,1.24538052181808,7.88091937366735,5.81125082011002e-13,10,6
combo_equal_weight_nn_across_har_augmented_datasets_log_rolling,Neural Network EW,Multiple,method_EW,0.689244090190009,0.0454487709805982,155,-0.233180227105293,-3.87216855104689,0.000159815647659683,0.779928107189394,7.71573960333485,1.47951387763533e-12,11,10
combo_equal_weight_rf_across_har_augmented_datasets_log_rolling,Random Forest EW,Multiple,method_EW,0.805870022788157,0.0306183714278053,155,0.0210368063958193,0.532767843670529,0.594972318658262,1.10016265813365,7.08214008040796,4.92753169272095e-11,12,25
