rank_oos_r2_vs_har,rank_qlike,model_type,information_set,n_eval,oos_r2_vs_har,qlike,qlike_gain_vs_har,n_members,forecast_id,dm_mse_p_vs_har,dm_qlike_p_vs_har
1,2,PLS,HAR + Option,155,0.682826271672097,0.247519270495854,0.114948556107955,1,pls__HAR_O__log__rolling,0.201190591103078,0.226381506874293
2,7,Stacked ENET,All 20 HAR-augmented ML forecasts,155,0.64505672178209,0.271660203232313,0.0908076233714963,20,stacked_enet_on_har_augmented_forecasts_log_rolling,0.239007223086771,0.26028531818911
3,14,Stacked RF,All 20 HAR-augmented ML forecasts,155,0.593137232097342,0.319606308775125,0.042861517828684,20,stacked_rf_on_har_augmented_forecasts_log_rolling,0.273217219961471,0.429311654955677
4,10,Random Forest,HAR + Option,155,0.589344531111037,0.286128020764478,0.0763398058393313,1,rf__HAR_O__log__rolling,0.275015069462981,0.204547798630724
5,5,EW Across ML,HAR + Option + Macro,155,0.589133545118617,0.261550035497359,0.100917791106451,5,combo_equal_weight_har_om_across_ml_har_augmented_log_rolling,0.259003905288843,0.159247944357446
6,11,Elastic Net,HAR + Option + Macro,155,0.571882807642385,0.287586084914808,0.0748817416890014,1,enet__HAR_OM__log__rolling,0.233921683003803,0.345826788758095
7,8,EW Full Panel,All HAR-augmented sets,155,0.55825266271588,0.277812321922258,0.0846555046815513,20,combo_equal_weight_all_har_augmented_ml_x_dataset_log_rolling,0.2730154585535,0.0755637841382317
8,9,EW PLS,All HAR-augmented sets,155,0.555351172344391,0.281119415408042,0.0813484111957669,4,combo_equal_weight_pls_across_har_augmented_datasets_log_rolling,0.256699983462954,0.221778730452043
9,13,Random Forest,HAR + Option + Macro,155,0.547827570616497,0.315994428443493,0.0464733981603161,1,rf__HAR_OM__log__rolling,0.304608289537379,0.208801124412708
10,16,EW Random Forest,All HAR-augmented sets,155,0.545552383018887,0.328968950796528,0.0334988758072811,4,combo_equal_weight_rf_across_har_augmented_datasets_log_rolling,0.307714584098416,0.193163682287822
