rank_oos_r2_vs_har,rank_qlike,model_type,information_set,n_eval,oos_r2_vs_har,qlike,qlike_gain_vs_har,n_members,forecast_id,dm_mse_p_vs_har,dm_qlike_p_vs_har
1,5,EW Neural Network,All HAR-augmented sets,155,0.87495729053991,0.256610814658296,0.0773565413952043,4,combo_equal_weight_nn_across_har_augmented_datasets_log_rolling,0.275321824319664,0.38582820743235
2,1,Elastic Net,HAR + Option,155,0.868803905876782,0.222353128365777,0.111614227687724,1,enet__HAR_O__log__rolling,0.275791999256311,0.169138951717184
3,2,EW Across ML,HAR + Option,155,0.857622033537162,0.227540351273985,0.106427004779515,4,combo_equal_weight_har_o_across_ml_har_augmented_log_rolling,0.26837412765145,0.213781119920398
4,8,Random Forest,HAR + Option,155,0.822739503849252,0.268130939298843,0.0658364167546571,1,rf__HAR_O__log__rolling,0.304360562547057,0.18869776307644
5,10,Stacked ENET,All 16 HAR-augmented ML forecasts,155,0.819307910180163,0.271007744263352,0.0629596117901486,16,stacked_enet_on_har_augmented_forecasts_log_rolling,0.305932378008746,0.215400031589383
6,14,Stacked RF,All 16 HAR-augmented ML forecasts,155,0.815028990126775,0.316322439045077,0.017644917008424,16,stacked_rf_on_har_augmented_forecasts_log_rolling,0.309002010750476,0.725592256926462
7,13,EW Random Forest,All HAR-augmented sets,155,0.805870022788156,0.303348984625695,0.0306183714278052,4,combo_equal_weight_rf_across_har_augmented_datasets_log_rolling,0.314182485954364,0.213605969667252
8,12,Random Forest,HAR + Option + Macro,155,0.80385328572227,0.296888217647989,0.0370791384055115,1,rf__HAR_OM__log__rolling,0.315515180555258,0.227167441570425
9,25,Neural Network,HAR + Option + Macro,155,0.796279485377655,0.438994847369135,-0.105027491315635,1,nn__HAR_OM__log__rolling,0.322170167199083,0.330995279700838
10,24,Random Forest,HAR,155,0.786403550832927,0.367337585243429,-0.0333702291899281,1,rf__HAR__log__rolling,0.325565771867958,0.228943806473828
11,20,Neural Network,HAR,155,0.773475807681605,0.348193775846523,-0.0142264197930227,1,nn__HAR__log__rolling,0.333600629577531,0.714010744311236
12,26,Random Forest,HAR + Macro,155,0.753358499103977,0.463271723390675,-0.129304367337174,1,rf__HAR_M__log__rolling,0.345822988456515,0.173974705706248
13,3,EW Full Panel,All HAR-augmented sets,155,0.724701193995605,0.231096117814154,0.102871238239346,16,combo_equal_weight_all_har_augmented_ml_x_dataset_log_rolling,0.279870013700013,0.120648836165576
14,4,EW Across ML,HAR + Option + Macro,155,0.700256266526873,0.247414421482901,0.0865529345705992,4,combo_equal_weight_har_om_across_ml_har_augmented_log_rolling,0.288899767385772,0.184913622164226
15,27,Neural Network,HAR + Macro,155,0.691906092429448,0.668875925010308,-0.334908568956807,1,nn__HAR_M__log__rolling,0.376686221833973,0.00788024950879847
16,15,EW Across ML,HAR,155,0.665886888785048,0.328898333625208,0.00506902242829227,4,combo_equal_weight_har_across_ml_har_augmented_log_rolling,0.317178263284199,0.704465528719706
17,6,EW Elastic Net,All HAR-augmented sets,155,0.544750145856689,0.258546112847062,0.0754212432064382,4,combo_equal_weight_enet_across_har_augmented_datasets_log_rolling,0.286039562305814,0.124971636571607
18,22,EW Across ML,HAR + Macro,155,0.512079042548124,0.355016278443138,-0.0210489223896374,4,combo_equal_weight_har_m_across_ml_har_augmented_log_rolling,0.325426156212958,0.4007630401205
19,28,Neural Network,HAR + Option,155,0.456484289627939,0.974252042984731,-0.64028468693123,1,nn__HAR_O__log__rolling,0.568437315193678,0.0695251679061558
20,7,PCA,HAR + Option,155,0.400085523484007,0.258899780821671,0.0750675752318297,1,pca__HAR_O__log__rolling,0.273494173013181,0.270877457062428
21,21,Elastic Net,HAR,155,0.362667426542333,0.349375597523488,-0.0154082414699876,1,enet__HAR__log__rolling,0.328132953099384,0.0302736029959822
22,19,Elastic Net,HAR + Option + Macro,155,0.32381782704932,0.33637612444328,-0.00240876838977933,1,enet__HAR_OM__log__rolling,0.324529622897252,0.944457828227663
23,9,PCA,HAR + Option + Macro,155,0.182589155602185,0.270305811663625,0.0636615443898758,1,pca__HAR_OM__log__rolling,0.243400925665319,0.33381351872583
24,11,EW PCA,All HAR-augmented sets,155,0.0639699327006902,0.27168667693382,0.0622806791196803,4,combo_equal_weight_pca_across_har_augmented_datasets_log_rolling,0.128586745755301,0.179091146662481
25,16,Elastic Net,HAR + Macro,155,0.00238493701969866,0.333684890211994,0.000282465841506596,1,enet__HAR_M__log__rolling,0.491242499638706,0.965045643101231
26,17,OLS,HAR,155,0,0.3339673560535,0,1,har_ols__HAR__log__rolling,,
26,17,PCA,HAR,155,0,0.3339673560535,0,1,pca__HAR__log__rolling,,
28,23,PCA,HAR + Macro,155,-0.493913882595987,0.35565039812002,-0.0216830420665192,1,pca__HAR_M__log__rolling,0.311803123664608,0.190269736473728
