target_date,forecast_id,plot_label,plot_group,realized_value_rv,forecast_value_rv,har_forecast_rv,model_error,har_error,model_abs_error,har_abs_error,model_sq_error,har_sq_error,abs_error_gain_vs_har,sq_error_gain_vs_har,cumulative_abs_error_gain_vs_har,cumulative_sq_error_gain_vs_har,rolling12_model_mae,rolling12_har_mae,rolling12_mae_gain_vs_har
2011-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.1239968,0.09762751,0.11607562,0.02636929,0.00792117,0.02636929,0.00792117,0.00069534,6.274e-05,-0.01844812,-0.00063259,-0.01844812,-0.00063259,,,
2011-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.08197577,0.1119395,0.12651617,-0.02996373,-0.0445404,0.02996373,0.0445404,0.00089782,0.00198385,0.01457667,0.00108602,-0.00387145,0.00045343,,,
2011-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.10443997,0.10012048,0.11306831,0.0043195,-0.00862834,0.0043195,0.00862834,1.866e-05,7.445e-05,0.00430885,5.579e-05,0.0004374,0.00050922,,,
2011-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.11731825,0.09804543,0.11566157,0.01927283,0.00165669,0.01927283,0.00165669,0.00037144,2.74e-06,-0.01761614,-0.0003687,-0.01717874,0.00014052,,,
2011-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.11132267,0.10352475,0.11708849,0.00779792,-0.00576582,0.00779792,0.00576582,6.081e-05,3.324e-05,-0.00203209,-2.756e-05,-0.01921083,0.00011296,,,
2011-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.30047559,0.18202712,0.11397057,0.11844846,0.18650502,0.11844846,0.18650502,0.01403004,0.03478412,0.06805656,0.02075408,0.04884572,0.02086704,,,
2011-09-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.23741865,0.19661254,0.18733709,0.04080612,0.05008156,0.04080612,0.05008156,0.00166514,0.00250816,0.00927545,0.00084302,0.05812117,0.02171007,,,
2011-10-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.21104059,0.31769114,0.15661848,-0.10665055,0.05442212,0.10665055,0.05442212,0.01137434,0.00296177,-0.05222843,-0.00841257,0.00589274,0.01329749,,,
2011-11-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.18299764,0.17780373,0.14490642,0.00519391,0.03809122,0.00519391,0.03809122,2.698e-05,0.00145094,0.03289731,0.00142396,0.03879005,0.01472146,,,
2011-12-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.12641057,0.15272013,0.1422497,-0.02630957,-0.01583913,0.02630957,0.01583913,0.00069219,0.00025088,-0.01047044,-0.00044132,0.02831962,0.01428014,,,
2012-01-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.09173477,0.17916557,0.12693949,-0.0874308,-0.03520472,0.0874308,0.03520472,0.00764414,0.00123937,-0.05222608,-0.00640477,-0.02390647,0.00787537,,,
2012-02-29,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.08055043,0.11783668,0.1137494,-0.03728625,-0.03319897,0.03728625,0.03319897,0.00139026,0.00110217,-0.00408727,-0.00028809,-0.02799374,0.00758728,0.04248741,0.0401546,-0.00233281
2012-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.07616645,0.1048235,0.10772076,-0.02865704,-0.03155431,0.02865704,0.03155431,0.00082123,0.00099567,0.00289726,0.00017445,-0.02509648,0.00776173,0.04267805,0.04212402,-0.00055403
2012-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.09057891,0.093174,0.10505353,-0.00259509,-0.01447463,0.00259509,0.01447463,6.73e-06,0.00020951,0.01187954,0.00020278,-0.01321694,0.00796451,0.04039734,0.03961854,-0.00077879
2012-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.12253117,0.10215582,0.10943598,0.02037535,0.0130952,0.02037535,0.0130952,0.00041515,0.00017148,-0.00728016,-0.00024367,-0.0204971,0.00772084,0.04173532,0.03999078,-0.00174454
2012-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.11937706,0.12472822,0.12178747,-0.00535116,-0.00241041,0.00535116,0.00241041,2.863e-05,5.81e-06,-0.00294075,-2.282e-05,-0.02343785,0.00769801,0.04057518,0.04005359,-0.00052159
2012-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,0.1008825,0.08852241,0.12079751,0.01236009,-0.01991501,0.01236009,0.01991501,0.00015277,0.00039661,0.00755492,0.00024384,-0.01588293,0.00794185,0.04095537,0.04123269,0.00027733
