target_date,realized_value_rv,nn_forecast_rv,har_forecast_rv,nn_error,har_error,nn_sq_error,har_sq_error,error_ratio_vs_har,cumulative_r2_oos_vs_har,nn_sq_error_share
2011-03-31,0.123997,0.089471,0.116076,0.034526,0.007921,0.00119205,6.274e-05,18.998,-17.998274,0.002201
2011-04-30,0.081976,0.093753,0.126516,-0.011777,-0.04454,0.00013869,0.00198385,0.07,0.349778,0.000256
2011-05-31,0.10444,0.084471,0.113068,0.019969,-0.008628,0.00039875,7.445e-05,5.356,0.184603,0.000736
2011-06-30,0.117318,0.147131,0.115662,-0.029813,0.001657,0.0008888,2.74e-06,323.834,-0.23284,0.001641
2011-07-31,0.111323,0.09247,0.117088,0.018852,-0.005766,0.00035541,3.324e-05,10.691,-0.378606,0.000656
2011-08-31,0.300476,0.238088,0.113971,0.062388,0.186505,0.00389221,0.03478412,0.112,0.814139,0.007185
2011-09-30,0.237419,0.317225,0.187337,-0.079806,0.050082,0.00636906,0.00250816,2.539,0.664507,0.011758
2011-10-31,0.211041,0.418465,0.156618,-0.207425,0.054422,0.04302508,0.00296177,14.527,-0.326541,0.079429
2011-11-30,0.182998,0.177939,0.144906,0.005059,0.038091,2.559e-05,0.00145094,0.018,-0.283243,4.7e-05
2011-12-31,0.126411,0.18083,0.14225,-0.05442,-0.015839,0.00296149,0.00025088,11.805,-0.343079,0.005467
2012-01-31,0.091735,0.236015,0.126939,-0.14428,-0.035205,0.02081684,0.00123937,16.796,-0.76538,0.03843
2012-02-29,0.08055,0.139688,0.113749,-0.059138,-0.033199,0.00349726,0.00110217,3.173,-0.798778,0.006456
2012-03-31,0.076166,0.09183,0.107721,-0.015664,-0.031554,0.00024536,0.00099567,0.246,-0.766204,0.000453
2012-04-30,0.090579,0.084909,0.105054,0.00567,-0.014475,3.215e-05,0.00020951,0.153,-0.759114,5.9e-05
2012-05-31,0.122531,0.082893,0.109436,0.039638,0.013095,0.00157117,0.00017148,9.162,-0.785656,0.002901
2012-06-30,0.119377,0.125279,0.121787,-0.005902,-0.00241,3.484e-05,5.81e-06,5.996,-0.786167,6.4e-05
2012-07-31,0.100883,0.171755,0.120798,-0.070873,-0.019915,0.00502294,0.00039661,12.665,-0.875618,0.009273
