target_date,forecast_id,plot_label,plot_group,n_elapsed,cumulative_r2_oos_vs_har,rolling36_r2_oos_vs_har
2011-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,1,-10.081992,
2011-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,2,0.221552,
2011-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,3,0.240079,
2011-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,4,0.066165,
2011-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,5,0.052367,
2011-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,6,0.564873,
2011-09-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,7,0.550328,
2011-10-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,8,0.313538,
2011-11-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,9,0.335631,
2011-12-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,10,0.323718,
2012-01-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,11,0.173649,
2012-02-29,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,12,0.163327,
2012-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,13,0.163577,
2012-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,14,0.167112,
2012-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,15,0.161419,
2012-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,16,0.160922,
2012-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,17,0.164654,
2012-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,18,0.161791,
2012-09-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,19,0.150652,
2012-10-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,20,0.150108,
2012-11-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,21,0.150217,
2012-12-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,22,0.150769,
2013-01-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,23,0.140355,
2013-02-28,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,24,0.137919,
2013-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,25,0.136148,
2013-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,26,0.135829,
2013-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,27,0.137981,
2013-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,28,0.139844,
2013-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,29,0.135067,
2013-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,30,0.138097,
2013-09-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,31,0.12868,
2013-10-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,32,0.126297,
2013-11-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,33,0.133748,
2013-12-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,34,0.136645,
2014-01-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,35,0.13615,
2014-02-28,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,36,0.132241,0.132241
2014-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,37,0.132685,0.144012
2014-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,38,0.132803,0.129477
2014-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,39,0.132673,0.128553
2014-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,40,0.138226,0.14093
2014-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,41,0.13957,0.142871
2014-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,42,0.132992,-0.580452
2014-09-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,43,0.135798,-0.679316
2014-10-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,44,0.132251,-0.254383
2014-11-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,45,0.150251,-0.2336
2014-12-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,46,0.146139,-0.22612
2015-01-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,47,0.151458,0.103811
2015-02-28,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,48,0.125756,0.040841
2015-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,49,0.128349,0.043922
2015-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,50,0.125268,0.02445
2015-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,51,0.123407,0.03269
2015-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,52,0.124865,0.039306
2015-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,53,0.116996,0.001582
2015-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,54,0.067095,-0.111651
2015-09-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,55,0.050403,-0.1432
2015-10-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,56,0.046213,-0.152459
2015-11-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,57,0.04495,-0.15394
2015-12-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,58,0.044032,-0.155881
2016-01-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,59,0.044518,-0.113563
2016-02-29,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,60,0.037997,-0.127233
2016-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,61,0.035538,-0.125155
2016-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,62,0.03485,-0.123159
2016-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,63,0.031735,-0.134455
2016-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,64,0.032435,-0.142536
2016-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,65,0.036675,-0.127601
2016-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,66,0.043172,-0.111586
2016-09-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,67,0.04287,-0.099206
2016-10-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,68,0.04206,-0.095634
2016-11-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,69,0.038631,-0.122203
2016-12-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,70,0.047197,-0.100961
2017-01-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,71,0.048479,-0.093275
2017-02-28,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,72,0.054473,-0.066551
2017-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,73,0.057781,-0.057714
2017-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,74,0.061139,-0.048245
2017-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,75,0.071342,-0.021919
2017-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,76,0.07611,-0.02243
2017-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,77,0.083334,-0.004373
2017-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,78,0.087354,0.01652
2017-09-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,79,0.09467,0.032445
2017-10-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,80,0.104869,0.060081
2017-11-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,81,0.110178,0.03767
2017-12-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,82,0.112056,0.050457
2018-01-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,83,0.113373,0.040803
2018-02-28,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,84,0.111161,0.085435
2018-03-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,85,0.09108,0.026759
2018-04-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,86,0.092799,0.037996
2018-05-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,87,0.091403,0.036747
2018-06-30,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,88,0.089946,0.03027
2018-07-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,89,0.087584,0.037457
2018-08-31,enet__HAR_O__log__rolling,Elastic Net | HAR+Option,Individual models,90,0.091764,0.147788
