specification_name,model_type,feature_set,model_family,information_set,n_predictors,target_type,window_type,n_oos,oos_r2,qlike,mse,mae,dm_p_value_vs_ols_har,encompassing_p_value_vs_ols_har,mcs_included
Elastic Net | HAR + Macro,enet,HAR_M,Elastic Net,HAR + Macro,157,log,rolling,191,0.0738312009112498,0.375215788820273,0.00646006995768255,0.0390105899747463,0.481218063722851,9.27397130096659e-05,TRUE
Elastic Net | HAR + Option,enet,HAR_O,Elastic Net,HAR + Option,23,log,rolling,191,-0.0861268522759451,1.14983162218585,0.00757578473332678,0.0504734170888745,0.17438626173362,4.06922071344953e-10,TRUE
Elastic Net | HAR + Option + Macro,enet,HAR_OM,Elastic Net,HAR + Option + Macro,177,log,rolling,191,-1.55066217587644,0.829554112066005,0.0177909859528723,0.0638898632980627,0.0167974661404633,0.616501496318845,TRUE
Elastic Net | Macro,enet,M,Elastic Net,Macro,154,log,rolling,191,0.0924047031886134,0.670320957721837,0.00633051892531243,0.0534053427050333,9.17829849418095e-05,0.00124227206476836,TRUE
Elastic Net | Option,enet,O,Elastic Net,Option,20,log,rolling,191,-0.64449541568981,0.259720036126756,0.0114704311361999,0.0444850029856472,0.195230215765009,7.44981685922184e-10,TRUE
Elastic Net | Option + Macro,enet,OM,Elastic Net,Option + Macro,174,log,rolling,191,0.483441512548588,0.31839850195695,0.00360301920066197,0.03698791515406,0.625365547360456,2.6299527970918e-19,TRUE
Neural Network | HAR,nn,HAR,Neural Network,HAR,3,log,rolling,191,-0.821136455033041,0.569764989890202,0.0127025105073445,0.050866234176578,0.00393546613434717,3.80173571019162e-05,TRUE
Neural Network | HAR + Macro,nn,HAR_M,Neural Network,HAR + Macro,157,log,rolling,191,0.178331064760746,0.707162757233455,0.0057311786025643,0.0461326514399501,1.5775889903204e-05,3.76424432344597e-08,TRUE
Neural Network | HAR + Option,nn,HAR_O,Neural Network,HAR + Option,23,log,rolling,191,-3.97050623885627,3.02227944294322,0.0346695095534439,0.0900123386939347,0.00934723249655298,0.220605247987971,TRUE
Neural Network | HAR + Option + Macro,nn,HAR_OM,Neural Network,HAR + Option + Macro,177,log,rolling,191,0.19044070761452,0.419081449170091,0.00564671328687357,0.0469271984130113,0.337076518381428,1.15901101248022e-09,TRUE
Neural Network | Macro,nn,M,Neural Network,Macro,154,log,rolling,191,-0.466937914986667,1.84931469033569,0.0102319594049321,0.0650862507346704,9.74823572756083e-05,0.00347533104607164,TRUE
Neural Network | Option,nn,O,Neural Network,Option,20,log,rolling,191,-0.847416664089441,1.1329119364366,0.0128858161738427,0.0678042233362726,0.0110331891720963,0.122616224610518,TRUE
Neural Network | Option + Macro,nn,OM,Neural Network,Option + Macro,174,log,rolling,191,0.194543360090845,0.55690118753062,0.00561809709721657,0.0482551349383892,0.0226628204852503,1.11502979660271e-10,TRUE
OLS | HAR,har_ols,HAR,OLS,HAR,3,log,rolling,191,0,0.354150866485621,0.00697504597870125,0.0408315539051258,,,TRUE
PCA Regression | HAR + Macro,pca,HAR_M,PCA Regression,HAR + Macro,157,log,rolling,191,0.0876872366621644,0.359088122152681,0.00636342347123739,0.0382497237005052,0.783198147246619,4.44893917377277e-05,TRUE
PCA Regression | HAR + Option,pca,HAR_O,PCA Regression,HAR + Option,23,log,rolling,191,-22.6705974166452,0.475843863831717,0.165103505324427,0.139228677137876,0.164209113139259,0.00252170137825025,TRUE
