model_family,information_set,oos_r2,qlike,rank_oos_r2,rank_qlike
Elastic Net,Option + Macro,0.483441512548588,0.31839850195695,1,3
Random Forest,HAR,0.379942692504626,0.397985251917888,2,10
Random Forest,HAR + Macro,0.29938746805037,0.498057101188021,3,16
Random Forest,HAR + Option,0.287861294491986,0.376055270438367,4,8
Random Forest,Option,0.279092367513174,0.38148554297882,5,9
PCA Regression,Option + Macro,0.27013121675839,0.362212658453831,6,6
Random Forest,HAR + Option + Macro,0.240712946881749,0.458234536658152,7,12
Random Forest,Option + Macro,0.232009925992116,0.466715247715872,8,13
Random Forest,Macro,0.211672958344623,0.60810456306665,9,19
Neural Network,Option + Macro,0.194543360090845,0.55690118753062,10,17
Neural Network,HAR + Option + Macro,0.19044070761452,0.419081449170091,11,11
Neural Network,HAR + Macro,0.178331064760746,0.707162757233455,12,21
Elastic Net,Macro,0.0924047031886134,0.670320957721837,13,20
PCA Regression,HAR + Macro,0.0876872366621644,0.359088122152681,14,5
Elastic Net,HAR + Macro,0.0738312009112498,0.375215788820273,15,7
PCA Regression,Macro,0.0323015045874756,0.739656646713358,16,22
OLS,HAR,0,0.354150866485621,17,4
Elastic Net,HAR + Option,-0.0861268522759451,1.14983162218585,18,25
Neural Network,Macro,-0.466937914986667,1.84931469033569,19,26
Elastic Net,Option,-0.64449541568981,0.259720036126756,20,1
PLS Regression,HAR + Macro,-0.6458881522208,9.77327400300936,21,28
Neural Network,HAR,-0.821136455033041,0.569764989890202,22,18
Neural Network,Option,-0.847416664089441,1.1329119364366,23,24
PLS Regression,Macro,-0.955048688995911,12.8589982993464,24,29
Elastic Net,HAR + Option + Macro,-1.55066217587644,0.829554112066005,25,23
PCA Regression,Option,-2.14472235120514,0.288589479812944,26,2
Neural Network,HAR + Option,-3.97050623885627,3.02227944294322,27,27
PCA Regression,HAR + Option + Macro,-7.65596208416421,0.467908218239775,28,14
PCA Regression,HAR + Option,-22.6705974166452,0.475843863831717,29,15
PLS Regression,Option + Macro,-2.80018619723221e+45,54.3850232161784,30,30
PLS Regression,Option,-4.09680799147966e+79,73.5125271661299,31,31
PLS Regression,HAR + Option + Macro,-3.74326198680945e+219,80.2966016951962,32,32
PLS Regression,HAR + Option,-3.15095801969701e+244,95.6490950751575,33,33
