rolling_window_months,forecast_id,model,information_set,forecast_type,n,squared_error_gain_vs_har,dm_stat_model_minus_har,dm_p_two_sided,dm_p_one_sided_model_better,se_dm_sig
60,pca__HAR__log__rolling,PCA,HAR,individual,302,0,,,,""
60,pca__HAR_O__log__rolling,PCA,HAR+Option,individual,226,0.0198140497347597,-1.34537227201044,0.178505044958601,0.0892525224793005,*
60,pca__HAR_M__log__rolling,PCA,HAR+Macro,individual,276,-0.0507660520494813,0.932124881469623,0.35127199070397,0.824364004648015,""
60,pca__HAR_OM__log__rolling,PCA,HAR+Macro+Option,individual,206,0.0168644177637845,-1.22752110400298,0.21962679476876,0.10981339738438,""
60,enet__HAR__log__rolling,Elastic Net,HAR,individual,302,0.0390542132972987,-1.22613929383222,0.220146261181602,0.110073130590801,""
60,enet__HAR_O__log__rolling,Elastic Net,HAR+Option,individual,231,0.0508035397964948,-1.07224270680522,0.283611032922401,0.1418055164612,""
60,enet__HAR_M__log__rolling,Elastic Net,HAR+Macro,individual,276,-0.005226832618092,0.907059520914766,0.364375322502642,0.817812338748679,""
60,enet__HAR_OM__log__rolling,Elastic Net,HAR+Macro+Option,individual,211,0.0564674586793402,-1.04503204740509,0.296008158145489,0.148004079072745,""
60,rf__HAR__log__rolling,Random Forest,HAR,individual,302,0.0524922332601411,-1.27598351908776,0.201961345114686,0.100980672557343,""
60,rf__HAR_O__log__rolling,Random Forest,HAR+Option,individual,211,0.0754242316640023,-1.2813649123714,0.200065522477075,0.100032761238538,""
60,rf__HAR_M__log__rolling,Random Forest,HAR+Macro,individual,276,0.0568594057306194,-1.26499526938985,0.205873023667041,0.10293651183352,""
60,rf__HAR_OM__log__rolling,Random Forest,HAR+Macro+Option,individual,191,0.08246495989875,-1.26975074915972,0.204173429265687,0.102086714632844,""
60,nn__HAR__log__rolling,Neural Network,HAR,individual,302,0.0439135748587804,-1.08509444300753,0.277879828292724,0.138939914146362,""
60,nn__HAR_O__log__rolling,Neural Network,HAR+Option,individual,211,0.0676572762545011,-1.1509182914885,0.249765851917971,0.124882925958985,""
60,nn__HAR_M__log__rolling,Neural Network,HAR+Macro,individual,276,0.0574017841575095,-1.27436828537592,0.202532926490516,0.101266463245258,""
60,nn__HAR_OM__log__rolling,Neural Network,HAR+Macro+Option,individual,191,0.0820500992421819,-1.26146965098431,0.207139687684703,0.103569843842351,""
60,ew_method__pca__rolling60,PCA EW,Multiple,method_EW,206,-0.00139428745173843,0.0913460526412535,0.92721762620299,0.536391186898505,""
60,ew_method__enet__rolling60,Elastic Net EW,Multiple,method_EW,211,0.0500081790299678,-1.17872359806858,0.238508255809798,0.119254127904899,""
60,ew_method__rf__rolling60,Random Forest EW,Multiple,method_EW,191,0.0829158781215365,-1.27590164923326,0.201990288009799,0.100995144004899,""
60,ew_method__nn__rolling60,Neural Network EW,Multiple,method_EW,191,0.0821440931990482,-1.2640671966209,0.206205909369017,0.103102954684508,""
60,ew_infoset__HAR__rolling60,Equal Weight,HAR,infoset_EW,302,0.0439926419547015,-1.25597323703823,0.209125673485469,0.104562836742735,""
60,ew_infoset__HAR_O__rolling60,Equal Weight,HAR+Option,infoset_EW,211,0.0677145443603064,-1.28659121667958,0.198236806725334,0.0991184033626671,*
60,ew_infoset__HAR_M__rolling60,Equal Weight,HAR+Macro,infoset_EW,276,0.0391510953791922,-1.39554985863345,0.162850090693127,0.0814250453465635,*
60,ew_infoset__HAR_OM__rolling60,Equal Weight,HAR+Macro+Option,infoset_EW,191,0.0759621358043612,-1.28242822369884,0.199692468737276,0.099846234368638,*
60,ew_all_ml__rolling60,Equal Weight,Multiple,all_EW,191,0.0709656468319293,-1.30344607067033,0.192422516589499,0.0962112582947497,*
