rank_oos_r2_vs_har,rank_qlike,model_type,information_set,n_eval,oos_r2_vs_har,qlike,qlike_gain_vs_har,n_members,forecast_id,dm_mse_p_vs_har,dm_qlike_p_vs_har
1,6,Random Forest,HAR + Option,155,0.620179442902849,0.274744889845047,0.0589080165904424,1,rf__HAR_O__log__rolling,0.283372697832931,0.258113503058625
2,16,Stacked RF,All 16 HAR-augmented ML forecasts,155,0.581197893817148,0.339888430680697,-0.00623552424520746,16,stacked_rf_on_har_augmented_forecasts_log_rolling,0.316274334137683,0.885585605124049
3,10,EW Random Forest,All HAR-augmented sets,155,0.581041429379911,0.312378154402203,0.0212747520332869,4,combo_equal_weight_rf_across_har_augmented_datasets_log_rolling,0.311280618470125,0.284695416863722
4,9,Random Forest,HAR + Option + Macro,155,0.58084613441533,0.299135292557631,0.0345176138778585,1,rf__HAR_OM__log__rolling,0.310301736122163,0.216280005759996
5,3,EW Across ML,HAR + Option + Macro,155,0.550345273096737,0.263367061076226,0.0702858453592636,4,combo_equal_weight_har_om_across_ml_har_augmented_log_rolling,0.275782571416367,0.195715077068325
6,21,Random Forest,HAR,155,0.544336323918327,0.378079648416057,-0.0444267419805671,1,rf__HAR__log__rolling,0.345561675552922,0.0623301741141445
7,13,Stacked ENET,All 16 HAR-augmented ML forecasts,155,0.492304686309656,0.328521060716155,0.00513184571933512,16,stacked_enet_on_har_augmented_forecasts_log_rolling,0.401437844840017,0.89285373607171
8,8,EW Full Panel,All HAR-augmented sets,155,0.491807478346639,0.28427999452062,0.0493729119148694,16,combo_equal_weight_all_har_augmented_ml_x_dataset_log_rolling,0.278109739453453,0.0628132922382163
9,22,EW Across ML,HAR + Macro,155,0.479174440826349,0.388229974928789,-0.0545770684932989,4,combo_equal_weight_har_m_across_ml_har_augmented_log_rolling,0.34483527870795,0.347387400899771
10,23,EW Neural Network,All HAR-augmented sets,155,0.475708430816994,0.424761355949033,-0.0911084495135431,4,combo_equal_weight_nn_across_har_augmented_datasets_log_rolling,0.410709753883757,0.118746890069608
11,25,Neural Network,HAR,155,0.464116662147932,0.490335128035043,-0.156682221599554,1,nn__HAR__log__rolling,0.421144870364575,0.0198030529280205
12,26,Random Forest,HAR + Macro,155,0.453725440735718,0.499341559753536,-0.165688653318047,1,rf__HAR_M__log__rolling,0.425446397845567,0.113672143511248
13,17,EW Across ML,HAR,155,0.453138946521095,0.344292977937813,-0.0106400715023238,4,combo_equal_weight_har_across_ml_har_augmented_log_rolling,0.329956411920338,0.415422620272069
14,24,Neural Network,HAR + Option + Macro,155,0.417481877001962,0.441522505197013,-0.107869598761524,1,nn__HAR_OM__log__rolling,0.471843004577888,0.225978293467795
15,11,EW Across ML,HAR + Option,155,0.271013008672332,0.312890374991252,0.0207625314442378,4,combo_equal_weight_har_o_across_ml_har_augmented_log_rolling,0.361942383270215,0.623492880730745
16,27,Neural Network,HAR + Macro,155,0.269076159728921,0.970799728376979,-0.637146821941489,1,nn__HAR_M__log__rolling,0.634173165048062,0.0352130811750982
17,12,Elastic Net,HAR + Option + Macro,155,0.260536353917383,0.322553576735111,0.0110993297003789,1,enet__HAR_OM__log__rolling,0.281220220912241,0.771418510102794
18,20,Elastic Net,HAR + Macro,155,0.16327836101151,0.352961325462429,-0.0193084190269394,1,enet__HAR_M__log__rolling,0.333742906303301,0.416176109125304
19,7,EW Elastic Net,All HAR-augmented sets,155,0.153818803671324,0.280380235309587,0.053272671125903,4,combo_equal_weight_enet_across_har_augmented_datasets_log_rolling,0.156379654631225,0.102411390516111
20,4,PCA,HAR + Option + Macro,155,0.109196152163033,0.270277564300037,0.0633753421354526,1,pca__HAR_OM__log__rolling,0.225389472947022,0.325158356277276
21,5,EW PCA,All HAR-augmented sets,155,0.0754218712275363,0.271575040313581,0.0620778661219083,4,combo_equal_weight_pca_across_har_augmented_datasets_log_rolling,0.10299582526159,0.160792873585197
22,18,PCA,HAR + Macro,155,0.0703923916067849,0.350585120501085,-0.0169322140655958,1,pca__HAR_M__log__rolling,0.362125631034419,0.396060248677272
23,19,Elastic Net,HAR,155,0.0377677819296589,0.350942258140502,-0.0172893517050128,1,enet__HAR__log__rolling,0.49895551930009,0.00252969171025378
24,2,PCA,HAR + Option,155,0.0266502244376529,0.262810129493929,0.0708427769415605,1,pca__HAR_O__log__rolling,0.782899824830695,0.298259799943492
25,1,Elastic Net,HAR + Option,155,0.00756828855602465,0.239015164118263,0.0946377423172266,1,enet__HAR_O__log__rolling,0.939873459059138,0.140595579106407
26,14,OLS,HAR,155,0,0.33365290643549,0,1,har_ols__HAR__log__rolling,,
26,14,PCA,HAR,155,0,0.33365290643549,0,1,pca__HAR__log__rolling,,
28,28,Neural Network,HAR + Option,155,-1.17957185008832,6.85509268538235,-6.52143977894686,1,nn__HAR_O__log__rolling,0.0125151889504301,0.275468275040722
