forecast_id,rank_m,v_m,mcs_pvalue_tmax,rank_r,v_r,mcs_pvalue_tr,average_loss,retained_in_mcs,loss_name,subset_name,combo_name,entry_type,combo_type
combo_equal_weight_all_har_augmented_ml_x_dataset_log_rolling,1,-1.97048434347607,1,4,0.972204507476298,0.9,0.00270463595312456,TRUE,mse,combo_only,EW all ML x HAR-augmented datasets,Equal Weight Combo,EW Full Panel
stacked_rf_on_har_augmented_forecasts_log_rolling,2,-1.45303711260226,1,2,0.878691055102974,0.92,0.00249105218567406,TRUE,mse,combo_only,Stacked RF on HAR-augmented forecasts,Stacked Combo,Stacked Forecasts
stacked_enet_on_har_augmented_forecasts_log_rolling,3,-1.23292530857178,1,1,-0.878691055102974,1,0.00214439124688397,TRUE,mse,combo_only,Stacked ENET on HAR-augmented forecasts,Stacked Combo,Stacked Forecasts
combo_equal_weight_har_om_across_ml_har_augmented_log_rolling,4,-1.18870175043613,1,5,1.1681769208381,0.844,0.00251556510252443,TRUE,mse,combo_only,EW across ML: HAR + Option + Macro,Equal Weight Combo,EW Across ML Within Dataset
combo_equal_weight_pls_across_har_augmented_datasets_log_rolling,5,-1.15353203220681,1,7,1.27152169820356,0.776,0.00272240057673185,TRUE,mse,combo_only,EW PLS across HAR-augmented datasets,Equal Weight Combo,EW Across Datasets Within ML
combo_equal_weight_rf_across_har_augmented_datasets_log_rolling,6,-0.927914714029146,1,9,1.52586352243125,0.58,0.00278239450464047,TRUE,mse,combo_only,EW Random Forest across HAR-augmented datasets,Equal Weight Combo,EW Across Datasets Within ML
combo_equal_weight_pca_across_har_augmented_datasets_log_rolling,7,-0.498042212124039,1,11,2.22912774721585,0.232,0.00291700313307694,TRUE,mse,combo_only,EW PCA across HAR-augmented datasets,Equal Weight Combo,EW Across Datasets Within ML
combo_equal_weight_har_o_across_ml_har_augmented_log_rolling,8,-0.0019447147573097,1,6,1.20205290104299,0.832,0.00300962223934082,TRUE,mse,combo_only,EW across ML: HAR + Option,Equal Weight Combo,EW Across ML Within Dataset
combo_equal_weight_enet_across_har_augmented_datasets_log_rolling,9,0.782947132249708,0.818,3,0.93460084746985,0.914,0.00419633280747135,TRUE,mse,combo_only,EW Elastic Net across HAR-augmented datasets,Equal Weight Combo,EW Across Datasets Within ML
combo_equal_weight_har_across_ml_har_augmented_log_rolling,10,0.913292849383156,0.776,8,1.28473299919518,0.756,0.00339127454897654,TRUE,mse,combo_only,EW across ML: HAR,Equal Weight Combo,EW Across ML Within Dataset
