forecast_id,model_group,model,information_set,forecast_type,window_type,refit_frequency,target_scale,n_oos,mse,rmse,rmse_har,rmse_gain_vs_har,qlike,qlike_har,qlike_gain_vs_har,r2_oos_vs_har,notes,combination_members,utility_gain,wealth_gain,members,rank_r2_oos,rank_qlike
ew_method__rf__rolling60,Combination,Random Forest EW,Multiple,method_EW,rolling,1,log_rv,191,0.00427170792242739,0.0653583041581358,0.295275440976665,0.229917136818529,0.388163350660162,0.356930097638424,-0.0312332530217379,0.951005548883147,Rolling window = 60 months; equal weight across information sets.,rf__HAR__log__rolling | rf__HAR_M__log__rolling | rf__HAR_O__log__rolling | rf__HAR_OM__log__rolling,0.00307140449017206,-0.156415474224461,4,1,13
rf__HAR_O__log__rolling,ML,Random Forest,HAR+Option,individual,rolling,1,log_rv,211,0.0040366337450677,0.0635345083011406,0.281888037009502,0.218353528708361,0.348524554146493,0.36024343389508,0.0117188797485865,0.949199725874028,Rolling window = 60 months; monthly refit.,,0.00281557251525309,-0.165170654675693,1,2,8
rf__HAR_OM__log__rolling,ML,Random Forest,HAR+Macro+Option,individual,rolling,1,log_rv,191,0.00472262614521386,0.0687213660022402,0.295275440976665,0.226554074974425,0.419070031776834,0.356930097638424,-0.0621399341384091,0.945833732077036,Rolling window = 60 months; monthly refit.,,0.00133867507677328,-0.198115552987755,1,3,19
stacked_rf__ALL_ML__log__rolling,Stacked,Stacked Random Forest,Multiple,stacked,rolling,1,log_rv,266,0.00362960646534657,0.0602462153611874,0.251669823615082,0.191423608253895,0.368219286438263,0.330179119824295,-0.0380401666139677,0.942694375410555,Stacked with Random Forest; meta-window=60; min_history=36,enet__HAR__log__rolling | enet__HAR_M__log__rolling | nn__HAR__log__rolling | nn__HAR_M__log__rolling | pca__HAR__log__rolling | pca__HAR_M__log__rolling | rf__HAR__log__rolling | rf__HAR_M__log__rolling,0.00171024844895822,-0.0132805701996057,8,4,10
ew_method__nn__rolling60,Combination,Neural Network EW,Multiple,method_EW,rolling,1,log_rv,191,0.00504349284491573,0.0710175530760933,0.295275440976665,0.224257887900572,0.387482144794767,0.356930097638424,-0.0305520471563424,0.942153544171156,Rolling window = 60 months; equal weight across information sets.,nn__HAR__log__rolling | nn__HAR_M__log__rolling | nn__HAR_O__log__rolling | nn__HAR_OM__log__rolling,0.00108348746364045,-0.213373055162874,4,5,12
nn__HAR_OM__log__rolling,ML,Neural Network,HAR+Macro+Option,individual,rolling,1,log_rv,191,0.00513748680178196,0.0716762638659547,0.295275440976665,0.22359917711071,0.433128292951366,0.356930097638424,-0.076198195312942,0.941075478346293,Rolling window = 60 months; monthly refit.,,0.00939972252011865,0.0314143375786675,1,6,22
nn__HAR_M__log__rolling,ML,Neural Network,HAR+Macro,individual,rolling,1,log_rv,276,0.00721003065302849,0.0849118993606225,0.254188541855328,0.169276642494706,0.684384524509073,0.414356305403575,-0.270028219105498,0.888410027265593,Rolling window = 60 months; monthly refit.,,0.00316219952874181,0.303762525445211,1,7,26
rf__HAR__log__rolling,ML,Random Forest,HAR,individual,rolling,1,log_rv,302,0.00694467720999704,0.0833347299149463,0.243796863126124,0.160462133211178,0.422281503345198,0.406549027782391,-0.0157324755628072,0.883158845992069,Rolling window = 60 months; monthly refit.,,0.00287299947487414,0.168010648591883,1,8,20
rf__HAR_M__log__rolling,ML,Random Forest,HAR+Macro,individual,rolling,1,log_rv,276,0.00775240907991852,0.0880477658996441,0.254188541855328,0.166140775955684,0.582271887389619,0.414356305403575,-0.167915581986044,0.880015611654757,Rolling window = 60 months; monthly refit.,,-0.00184662465385676,0.00136216732503991,1,9,25
ew_infoset__HAR_OM__rolling60,Combination,Equal Weight,HAR+Macro+Option,infoset_EW,rolling,1,log_rv,191,0.0112254502396027,0.105950225292836,0.295275440976665,0.189325215683829,0.283227751321283,0.356930097638424,0.0737023463171412,0.871249443310172,Rolling window = 60 months; equal weight across ML methods.,enet__HAR_OM__log__rolling | nn__HAR_OM__log__rolling | pca__HAR_OM__log__rolling | rf__HAR_OM__log__rolling,0.00376910546519299,-0.167017732556651,4,10,2
ew_infoset__HAR_O__rolling60,Combination,Equal Weight,HAR+Option,infoset_EW,rolling,1,log_rv,211,0.0117463210487636,0.108380445878228,0.281888037009502,0.173507591131273,0.27464257781498,0.36024343389508,0.0856008560800994,0.852174765674994,Rolling window = 60 months; equal weight across ML methods.,enet__HAR_O__log__rolling | nn__HAR_O__log__rolling | pca__HAR_O__log__rolling | rf__HAR_O__log__rolling,0.00101386717802632,-0.237900673607552,4,11,1
nn__HAR_O__log__rolling,ML,Neural Network,HAR+Option,individual,rolling,1,log_rv,211,0.011803589154569,0.108644324078936,0.281888037009502,0.173243712930565,1.16489105272209,0.36024343389508,-0.80464761882701,0.851454057367696,Rolling window = 60 months; monthly refit.,,-0.00963830806093913,-0.351966471980915,1,12,27
